ObjectID,NiceName,Category,SubCategory,ModelName,VariantOfClean,SnapGroups,LikelyRole,FBXPath,extent_x,extent_y,extent_z,center_x,center_y,center_z,SpacingRule
B_ALK_A,TITAN-CLASS LANDING BAY,Corvette,Access and Docking,B_ALK_A,,,prop/detail or unclassified,models/corvette/B_ALK_A.fbx,6.0,3.009532,6.003907,0.0,1.505,-2.99721,"use FBX extents X=6.000, Y=3.010, Z=6.004 * scale"
B_ALK_B,AMBASSADOR-CLASS LANDING BAY,Corvette,Access and Docking,B_ALK_B,,,prop/detail or unclassified,models/corvette/B_ALK_B.fbx,5.929688,2.998047,3.697327,0.0,1.499023,-1.831024,"use FBX extents X=5.930, Y=2.998, Z=3.697 * scale"
B_ALK_C,THUNDERBIRD-CLASS LANDING BAY,Corvette,Access and Docking,B_ALK_C,,,prop/detail or unclassified,models/corvette/B_ALK_C.fbx,6.0,2.970375,6.023438,0.0,1.57967,-0.001953,"use FBX extents X=6.000, Y=2.970, Z=6.023 * scale"
B_ALK_Z_A,TITAN-CLASS LANDING BAY (Z),Corvette,Access and Docking,B_ALK_Z_A,B_ALK_A,,prop/detail or unclassified,models/corvette/B_ALK_Z_A.fbx,6.0,3.009532,6.003906,0.0,1.505,2.99721,"use FBX extents X=6.000, Y=3.010, Z=6.004 * scale"
B_ALK_Z_B,AMBASSADOR-CLASS LANDING BAY (Z),Corvette,Access and Docking,B_ALK_Z_B,B_ALK_B,,prop/detail or unclassified,models/corvette/B_ALK_Z_B.fbx,5.929688,2.998047,3.697327,0.0,1.499023,1.831024,"use FBX extents X=5.930, Y=2.998, Z=3.697 * scale"
B_LND_A,LANDING GEAR,Corvette,Access and Docking,B_LND_A,,,prop/detail or unclassified,models/corvette/B_LND_A.fbx,5.589844,6.128489,5.589844,0.0,2.736119,0.001118,"use FBX extents X=5.590, Y=6.128, Z=5.590 * scale"
B_LND_B,MAG-FIELD LANDING THRUSTERS,Corvette,Access and Docking,B_LND_B,,,prop/detail or unclassified,models/corvette/B_LND_B.fbx,5.054688,2.299438,6.019531,-0.007812,1.973938,0.0,"use FBX extents X=5.055, Y=2.299, Z=6.020 * scale"
B_LND_C,HYDRAULIC LEGS,Corvette,Access and Docking,B_LND_C,,,prop/detail or unclassified,models/corvette/B_LND_C.fbx,5.638672,8.062741,7.261204,0.000977,3.918893,-0.02076,"use FBX extents X=5.639, Y=8.063, Z=7.261 * scale"
B_COK_A,TITAN-CLASS COCKPIT,Corvette,Cockpits and Habitation Modules,B_COK_A,,,prop/detail or unclassified,models/corvette/B_COK_A.fbx,5.9375,5.499756,6.415283,0.0,2.27356,3.120483,"use FBX extents X=5.938, Y=5.500, Z=6.415 * scale"
B_COK_B,AMBASSADOR-CLASS COCKPIT,Corvette,Cockpits and Habitation Modules,B_COK_B,,,prop/detail or unclassified,models/corvette/B_COK_B.fbx,6.324219,4.624023,5.790321,0.001953,0.672363,2.893902,"use FBX extents X=6.324, Y=4.624, Z=5.790 * scale"
B_COK_D,THUNDERBIRD-CLASS COCKPIT,Corvette,Cockpits and Habitation Modules,B_COK_D,,,prop/detail or unclassified,models/corvette/B_COK_D.fbx,6.556641,3.315186,6.216019,-0.010742,1.387329,3.099022,"use FBX extents X=6.557, Y=3.315, Z=6.216 * scale"
B_HAB1_A,TITAN-CLASS WALKWAY,Corvette,Cockpits and Habitation Modules,B_HAB1_A,,,prop/detail or unclassified,models/corvette/B_HAB1_A.fbx,6.0,2.952515,6.001953,0.0,1.441711,-0.000977,"use FBX extents X=6.000, Y=2.953, Z=6.002 * scale"
B_HAB1_B,THUNDERBIRD-CLASS WALKWAY,Corvette,Cockpits and Habitation Modules,B_HAB1_B,,,prop/detail or unclassified,models/corvette/B_HAB1_B.fbx,5.886719,2.931412,6.804688,0.0,1.4757,0.302734,"use FBX extents X=5.887, Y=2.931, Z=6.805 * scale"
B_HAB1_C,AMBASSADOR-CLASS WALKWAY,Corvette,Cockpits and Habitation Modules,B_HAB1_C,,,prop/detail or unclassified,models/corvette/B_HAB1_C.fbx,5.847656,3.015289,5.8125,0.0,1.492355,0.0,"use FBX extents X=5.848, Y=3.015, Z=5.812 * scale"
B_HAB_A,TITAN-CLASS HAB,Corvette,Cockpits and Habitation Modules,B_HAB_A,,,prop/detail or unclassified,models/corvette/B_HAB_A.fbx,6.015625,2.952515,12.0,0.0,1.441711,0.0,"use FBX extents X=6.016, Y=2.953, Z=12.000 * scale"
B_HAB_B,THUNDERBIRD-CLASS HAB,Corvette,Cockpits and Habitation Modules,B_HAB_B,,,prop/detail or unclassified,models/corvette/B_HAB_B.fbx,5.074219,2.821899,11.007812,0.0,1.510925,0.0,"use FBX extents X=5.074, Y=2.822, Z=11.008 * scale"
B_HAB_C,AMBASSADOR-CLASS HAB,Corvette,Cockpits and Habitation Modules,B_HAB_C,,,prop/detail or unclassified,models/corvette/B_HAB_C.fbx,5.847656,2.956696,11.820312,0.0,1.463058,0.0,"use FBX extents X=5.848, Y=2.957, Z=11.820 * scale"
B_SHL_A,DEFLECTOR SHIELD,Corvette,Defensive Systems,B_SHL_A,,,prop/detail or unclassified,models/corvette/B_SHL_A.fbx,3.101564,3.778916,3.101564,0.0,1.858589,0.0,"use FBX extents X=3.102, Y=3.779, Z=3.102 * scale"
B_SHL_B,ION BARRIER,Corvette,Defensive Systems,B_SHL_B,,,prop/detail or unclassified,models/corvette/B_SHL_B.fbx,3.637695,4.03653,2.369141,-0.001465,1.993454,0.004883,"use FBX extents X=3.638, Y=4.037, Z=2.369 * scale"
B_SHL_C,HIGH-ENERGY SHIELD,Corvette,Defensive Systems,B_SHL_C,,,prop/detail or unclassified,models/corvette/B_SHL_C.fbx,2.666016,2.909501,2.628907,0.00293,1.441735,0.0,"use FBX extents X=2.666, Y=2.910, Z=2.629 * scale"
B_SHL_E,AERON POWERSHIELD,Corvette,Defensive Systems,B_SHL_E,,,prop/detail or unclassified,models/corvette/B_SHL_E.fbx,3.753906,1.463577,3.753906,0.0,0.703758,0.0,"use FBX extents X=3.754, Y=1.464, Z=3.754 * scale"
B_TUR_A,PHOTON CANNON ARRAY,Corvette,Defensive Systems,B_TUR_A,,,prop/detail or unclassified,models/corvette/B_TUR_A.fbx,3.378906,2.175049,4.15625,0.0,0.959351,0.474609,"use FBX extents X=3.379, Y=2.175, Z=4.156 * scale"
B_TUR_B,DEADEYE CANNON,Corvette,Defensive Systems,B_TUR_B,,,prop/detail or unclassified,models/corvette/B_TUR_B.fbx,2.827294,3.832152,5.072688,0.003837,1.686848,0.619248,"use FBX extents X=2.827, Y=3.832, Z=5.073 * scale"
