ModelName,FBXPath,fbx_version,vertex_count,mesh_arrays,min_x,max_x,extent_x,center_x,min_y,max_y,extent_y,center_y,min_z,max_z,extent_z,center_z,error
BUILDANTIMATTER,models/advanced_technology/BUILDANTIMATTER.fbx,7400,214,1,-1.950001,1.95,3.900001,-0.0,-0.100261,3.377296,3.477557,1.638517,-1.950001,1.95,3.900001,-0.0,
BUILDGASHARVEST,models/advanced_technology/BUILDGASHARVEST.fbx,7400,126,1,-0.74,0.74,1.48,0.0,0.001798,3.013038,3.01124,1.507418,-0.932719,1.204669,2.137388,0.135975,
BUILDHARVESTER,models/advanced_technology/BUILDHARVESTER.fbx,7400,170,1,-1.139772,1.139772,2.279544,0.0,-0.258341,3.029679,3.28802,1.385669,-1.04194,1.04194,2.08388,0.0,
BUILDLANDINGPAD,models/advanced_technology/BUILDLANDINGPAD.fbx,7400,1538,1,-18.002377,18.002377,36.004753,0.0,-1.057768,3.119487,4.177255,1.03086,-18.002377,18.002377,36.004753,0.0,
BUILD_REFINER2,models/advanced_technology/BUILD_REFINER2.fbx,7400,412,1,-1.0,1.0,2.0,0.0,-0.000523,2.368466,2.368989,1.183971,-1.0,1.0,2.0,0.0,
BUILD_REFINER3,models/advanced_technology/BUILD_REFINER3.fbx,7400,376,1,-1.691259,1.691259,3.382518,0.0,-0.004652,2.809734,2.814386,1.402541,-1.046804,1.32263,2.369434,0.137913,
BYTEBEAT,models/advanced_technology/BYTEBEAT.fbx,7400,216,1,-0.759367,0.759367,1.518734,0.0,-0.000184,1.699397,1.699581,0.849606,-0.604652,0.398927,1.003579,-0.102862,
DRESSING_TABLE,models/advanced_technology/DRESSING_TABLE.fbx,7400,282,1,-2.105561,2.10556,4.211121,-0.0,0.000281,3.942488,3.942207,1.971384,-2.105561,2.10556,4.211121,-0.0,
GAMETABLE,models/advanced_technology/GAMETABLE.fbx,7400,16999,1,-1.694336,1.694336,3.388672,0.0,-0.000668,1.207031,1.207699,0.603182,-1.694336,1.694336,3.388672,0.0,
HEALTHSTATION,models/advanced_technology/HEALTHSTATION.fbx,7400,124,1,-0.487289,0.532483,1.019772,0.022597,-0.002519,0.460478,0.462997,0.22898,-0.589315,0.544658,1.133973,-0.022328,
HOLO_DISCO_0,models/advanced_technology/HOLO_DISCO_0.fbx,7400,2209,1,-0.206783,0.211919,0.418701,0.002568,-0.001401,0.422238,0.423639,0.210418,-0.211864,0.209889,0.421753,-0.000988,
L_FLOOR_Q,models/advanced_technology/L_FLOOR_Q.fbx,7400,56,1,-1.329886,1.32317,2.653056,-0.003358,-0.401467,0.20497,0.606437,-0.098248,-1.33846,1.332155,2.670615,-0.003152,
MESSAGEMODULE,models/advanced_technology/MESSAGEMODULE.fbx,7400,446,1,-0.328,0.328,0.656,0.0,-0.022391,0.96217,0.984561,0.46989,-0.26,0.26,0.52,0.0,
SHIELDSTATION,models/advanced_technology/SHIELDSTATION.fbx,7400,140,1,-0.311216,0.311216,0.622432,0.0,0.000373,0.430971,0.430598,0.215672,-0.602565,0.507995,1.11056,-0.047285,
S_LANDINGZONE,models/advanced_technology/S_LANDINGZONE.fbx,7400,1495,1,-8.046875,8.109375,16.15625,0.03125,0.215697,1.740982,1.525285,0.97834,-9.242188,9.132812,18.375,-0.054688,
TELEPORTER,models/advanced_technology/TELEPORTER.fbx,7400,520,1,-2.0,2.000001,4.000001,0.0,-0.017631,3.584327,3.601958,1.783348,-2.0,1.618035,3.618035,-0.190983,
U_MINIPORTAL,models/advanced_technology/U_MINIPORTAL.fbx,7400,287,1,-1.0,1.0,2.0,0.0,0.0,5.441512,5.441512,2.720756,-1.540539,1.0,2.540539,-0.27027,
U_MINIPORTAL_CV,models/advanced_technology/U_MINIPORTAL_CV.fbx,7400,16335,1,-1.425781,1.425781,2.851562,0.0,-0.006943,3.636719,3.643661,1.814888,-1.460938,1.460938,2.921875,0.0,
F_ARCH,models/alloy_structures/F_ARCH.fbx,7400,340,1,-3.0,3.0,6.0,0.0,0.0,3.431604,3.431604,1.715802,-0.407011,0.404354,0.811365,-0.001328,
F_ARCH_H,models/alloy_structures/F_ARCH_H.fbx,7400,174,1,-1.364009,1.339844,2.703853,-0.012083,0.0,3.431604,3.431604,1.715802,-0.407011,0.404354,0.811365,-0.001328,
F_CHEV_DOOR,models/alloy_structures/F_CHEV_DOOR.fbx,7400,384,1,-2.677777,2.677777,5.355554,0.0,0.0,3.431604,3.431604,1.715802,-0.578588,0.751148,1.329736,0.08628,
F_CHEV_WALL,models/alloy_structures/F_CHEV_WALL.fbx,7400,118,1,-2.687955,2.677777,5.365732,-0.005089,0.0,3.431604,3.431604,1.715802,-0.407011,0.751148,1.158159,0.172068,
F_CHEV_WALL_H_C,models/alloy_structures/F_CHEV_WALL_H_C.fbx,7400,36,1,-0.625977,-0.048523,0.577454,-0.33725,0.054596,3.28125,3.226654,1.667923,0.048523,0.625977,0.577454,0.33725,
F_CHEV_WIN0,models/alloy_structures/F_CHEV_WIN0.fbx,7400,368,1,-2.943392,2.677777,5.621169,-0.132807,0.0,3.431604,3.431604,1.715802,-0.751148,0.751148,1.502296,0.0,
F_CHEV_WIN1,models/alloy_structures/F_CHEV_WIN1.fbx,7400,186,1,-2.687955,2.677777,5.365732,-0.005089,0.0,3.431604,3.431604,1.715802,-0.407011,0.751148,1.158159,0.172068,
F_CHEV_WIN2,models/alloy_structures/F_CHEV_WIN2.fbx,7400,154,1,-2.687955,2.677777,5.365732,-0.005089,0.0,3.431604,3.431604,1.715802,-0.407011,0.751148,1.158159,0.172068,
F_DOOR,models/alloy_structures/F_DOOR.fbx,7400,379,1,-3.016144,3.016144,6.032288,0.0,0.0,3.431604,3.431604,1.715802,-0.407011,0.404354,0.811365,-0.001328,
F_DOOR1,models/alloy_structures/F_DOOR1.fbx,7400,343,1,-3.016144,3.016144,6.032288,0.0,0.0,3.431604,3.431604,1.715802,-0.407011,0.404354,0.811365,-0.001328,
