ActiveLibraryIndex,ExtractionPartIndex,ObjectID,NiceName,Category,SubCategory,ModelName,VariantOfClean,SnapGroups,LikelyRole,FBXPath,PartClassGuess,ExpectedExtentX,ExpectedExtentY,ExpectedExtentZ,MeasuredLocalSize,MeasuredWorldSize_DEFAULT,DimensionsProperty_DEFAULT,LocalBBoxCenter,LocalOriginOffsetFromBBoxCenter,LocalBottomOffsetZ,LocalTopOffsetZ,WorldBottomOffsetFromOriginZ_DEFAULT,WorldTopOffsetFromOriginZ_DEFAULT,SortedExtentDeltaMax_DEFAULT,ExtentMatch0p10_DEFAULT,SpawnSuccessAllVariants,VariantCount,DefaultRotationDegrees,RX90WorldSize,RY90WorldSize,RZ90WorldSize,Scale050WorldSize,Scale150WorldSize,Scale200WorldSize,ValidationStatus,ValidationFlags,MechanicsUseRecommendation,DecorativeProxyCaution,UserConfirmedNote,SourceExtractionRun,SourceDocsRev,ExtractionConfidence
0,0.0,ABAND_BARREL,INDUSTRIAL BARREL,Furnishings,Derelict Freighter Salvage,ABAND_BARREL,,PROP,prop/detail or unclassified,models/freighter/ABAND_BARREL.fbx,DECORATION_MISC,1.0,1.766413,0.951057,"[1.0, 1.766413, 0.951057]","[1.0, 0.951063, 1.766416]","[1.0, 1.766413, 0.951057]","[0.0, 0.883206, -0.0]","[0.0, -0.883206, 0.0]",-0.475529,0.475528,-2e-06,1.766415,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[1.0, 0.951057, 1.766413]","[0.951057, 1.766413, 1.0]","[1.766413, 1.0, 0.951057]","[0.5, 0.475531, 0.883208]","[1.5, 1.426594, 2.649625]","[2.0, 1.902126, 3.532833]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
1,1.0,ABAND_BENCH,INDUSTRIAL BENCH,Furnishings,Derelict Freighter Salvage,ABAND_BENCH,,PROP,prop/detail or unclassified,models/freighter/ABAND_BENCH.fbx,DECORATION_MISC,2.139994,0.82497,0.691667,"[2.139994, 0.82497, 0.691667]","[2.139994, 0.69167, 0.824973]","[2.139994, 0.82497, 0.691667]","[-0.002467, 0.412485, -0.001209]","[0.002467, -0.412485, 0.001209]",-0.347043,0.344624,-1e-06,0.824971,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[2.139994, 0.691667, 0.82497]","[0.691667, 0.82497, 2.139994]","[0.82497, 2.139994, 0.691667]","[1.069997, 0.345835, 0.412486]","[3.209991, 1.037506, 1.237459]","[4.279988, 1.383341, 1.649945]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
2,2.0,ABAND_CASE,SECURE BRIEFCASE,Furnishings,Derelict Freighter Salvage,ABAND_CASE,,PROP,prop/detail or unclassified,models/freighter/ABAND_CASE.fbx,DECORATION_MISC,0.945196,0.255568,0.624492,"[0.945196, 0.255568, 0.624492]","[0.945196, 0.624493, 0.25557]","[0.945196, 0.255568, 0.624492]","[-0.007025, 0.133281, 0.031481]","[0.007025, -0.133281, -0.031481]",-0.280765,0.343727,0.005496,0.261066,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[0.945196, 0.624492, 0.255568]","[0.624492, 0.255568, 0.945196]","[0.255568, 0.945196, 0.624492]","[0.472598, 0.312246, 0.127785]","[1.417794, 0.936741, 0.383355]","[1.890392, 1.248985, 0.511141]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
3,3.0,ABAND_CRATE_L,STORAGE UNIT,Furnishings,Derelict Freighter Salvage,ABAND_CRATE_L,,PROP,prop/detail or unclassified,models/freighter/ABAND_CRATE_L.fbx,DECORATION_MISC,1.578422,1.267061,1.319302,"[1.578422, 1.267061, 1.319302]","[1.578422, 1.319307, 1.267066]","[1.578422, 1.267061, 1.319302]","[0.0, 0.633718, 0.0]","[0.0, -0.633718, 0.0]",-0.659651,0.659651,0.000185,1.26725,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[1.578422, 1.319302, 1.267061]","[1.319302, 1.267061, 1.578422]","[1.267061, 1.578423, 1.319302]","[0.789211, 0.659655, 0.633533]","[2.367633, 1.97896, 1.900599]","[3.156844, 2.638613, 2.534132]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
4,4.0,ABAND_CRATE_M,SALVAGE CRATE,Furnishings,Derelict Freighter Salvage,ABAND_CRATE_M,,PROP,prop/detail or unclassified,models/freighter/ABAND_CRATE_M.fbx,DECORATION_MISC,1.240476,0.891024,1.125102,"[1.240476, 0.891024, 1.125102]","[1.240476, 1.125105, 0.891028]","[1.240476, 0.891024, 1.125102]","[0.0, 0.447374, 0.0]","[0.0, -0.447374, 0.0]",-0.562551,0.562551,0.00186,0.892888,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[1.240476, 1.125102, 0.891024]","[1.125102, 0.891024, 1.240476]","[0.891024, 1.240477, 1.125102]","[0.620238, 0.562551, 0.445514]","[1.860714, 1.687658, 1.336542]","[2.480952, 2.25021, 1.782056]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
5,5.0,ABAND_CRATE_XL,LARGE STORAGE UNIT,Furnishings,Derelict Freighter Salvage,ABAND_CRATE_XL,,PROP,prop/detail or unclassified,models/freighter/ABAND_CRATE_XL.fbx,DECORATION_MISC,2.747991,2.177107,1.506098,"[2.747991, 2.177107, 1.506098]","[2.747991, 1.506106, 2.177112]","[2.747991, 2.177107, 1.506098]","[0.000472, 1.076696, 0.001783]","[-0.000472, -1.076696, -0.001783]",-0.751266,0.754832,-0.011861,2.165252,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[2.747991, 1.506098, 2.177107]","[1.506098, 2.177107, 2.747991]","[2.177107, 2.747991, 1.506098]","[1.373995, 0.753054, 1.088556]","[4.121987, 2.259159, 3.265669]","[5.495982, 3.012213, 4.354225]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
6,6.0,ABAND_SHELF,HEAVY-DUTY FURNITURE,Furnishings,Derelict Freighter Salvage,ABAND_SHELF,,PROP,prop/detail or unclassified,models/freighter/ABAND_SHELF.fbx,DECORATION_MISC,1.419034,2.884865,4.956271,"[1.419034, 2.884865, 4.956271]","[1.419034, 4.956282, 2.884883]","[1.419034, 2.884865, 4.956271]","[0.346927, 1.442433, 0.027102]","[-0.346927, -1.442433, -0.027102]",-2.451034,2.505237,-9e-06,2.884874,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[1.419034, 4.956271, 2.884865]","[4.956271, 2.884865, 1.419034]","[2.884865, 1.419034, 4.956271]","[0.709517, 2.478142, 1.442441]","[2.128551, 7.434423, 4.327325]","[2.838068, 9.912563, 5.769766]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
7,7.0,AIRLCKCONNECTOR,,Legacy Structures,Freighter,AIRLCKCONNECTOR,,PROPS,prop/detail or unclassified,models/freighter/AIRLCKCONNECTOR.fbx,OTHER,3.071052,3.3122,0.941372,"[3.071052, 3.3122, 0.941372]","[3.071052, 0.941384, 3.312203]","[3.071052, 3.3122, 0.941372]","[0.0, 1.624842, 0.413323]","[0.0, -1.624842, -0.413323]",-0.057363,0.884009,-0.031261,3.280942,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[3.071052, 0.941372, 3.3122]","[0.941372, 3.3122, 3.071052]","[3.3122, 3.071053, 0.941372]","[1.535526, 0.470692, 1.656102]","[4.606578, 1.412075, 4.968305]","[6.142104, 1.882769, 6.624407]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
8,8.0,ARCHIVE,SECURE ARCHIVE,Furnishings,Decorative Technology,ARCHIVE,,,arch/opening detail,models/decoration/ARCHIVE.fbx,TECH_UTILITY,2.048828,1.188477,1.056152,"[2.048828, 1.188477, 1.056152]","[2.048828, 1.056157, 1.18848]","[2.048828, 1.188477, 1.056152]","[-0.000977, 0.592808, 0.000244]","[0.000977, -0.592808, -0.000244]",-0.527832,0.52832,-0.001432,1.187048,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[2.048828, 1.056152, 1.188477]","[1.056152, 1.188477, 2.048828]","[1.188477, 2.048828, 1.056152]","[1.024414, 0.528078, 0.59424]","[3.073242, 1.584234, 1.782721]","[4.097656, 2.112314, 2.376961]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
9,9.0,BARRENPLANT,ECHINOCACTUS,Advanced Technology,Farming,BARRENPLANT,,PLANTS,prop/detail or unclassified,models/farming/BARRENPLANT.fbx,DECORATIVE_FLORA_OR_GLITCH,0.898179,2.291468,0.707296,"[0.898179, 2.291468, 0.707296]","[0.898179, 0.707304, 2.291471]","[0.898179, 2.291468, 0.707296]","[0.105248, 1.051862, 0.031049]","[-0.105248, -1.051862, -0.031049]",-0.322599,0.384697,-0.093873,2.197597,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[0.898179, 0.707296, 2.291468]","[0.707296, 2.291468, 0.898179]","[2.291468, 0.89818, 0.707296]","[0.44909, 0.353651, 1.145735]","[1.347269, 1.060955, 3.437206]","[1.796358, 1.414608, 4.582941]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,YES,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
10,10.0,BASECAPSULE,BASE SALVAGE CAPSULE,Advanced Technology,Specialist Terminals,BASECAPSULE,,PROPS,prop/detail or unclassified,models/specialist_terminals/BASECAPSULE.fbx,TECH_UTILITY,3.900001,3.477557,3.900001,"[3.900001, 3.477557, 3.900001]","[3.900001, 3.900014, 3.477571]","[3.900001, 3.477557, 3.900001]","[-0.0, 1.638517, -0.0]","[0.0, -1.638517, 0.0]",-1.950001,1.95,-0.100268,3.377303,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[3.900001, 3.900001, 3.477557]","[3.900001, 3.477558, 3.900001]","[3.477557, 3.900001, 3.900001]","[1.950001, 1.950006, 1.738786]","[5.850002, 5.850021, 5.216356]","[7.800002, 7.800028, 6.955142]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
11,11.0,BASE_AQUARIUM,SMALL AQUARIUM,Exotic Decorations,Planetary Glitches,BASE_AQUARIUM,,PROP,prop/detail or unclassified,models/exotic_decorations/BASE_AQUARIUM.fbx,DECORATIVE_FLORA_OR_GLITCH,4.16,3.958481,4.160001,"[4.16, 3.958481, 4.160001]","[4.16, 4.160015, 3.958496]","[4.16, 3.958481, 4.160001]","[0.0, 1.976762, -1e-06]","[0.0, -1.976762, 1e-06]",-2.080001,2.08,-0.002486,3.956011,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[4.16, 4.160001, 3.958481]","[4.160001, 3.958481, 4.16]","[3.958481, 4.16, 4.160001]","[2.08, 2.080008, 1.979248]","[6.24, 6.240025, 5.937744]","[8.32, 8.32003, 7.916992]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,YES,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
12,12.0,BASE_BARNACLE,BARNACLE,Exotic Decorations,Planetary Glitches,BASE_BARNACLE,,PROP,prop/detail or unclassified,models/exotic_decorations/BASE_BARNACLE.fbx,DECORATIVE_FLORA_OR_GLITCH,3.014163,0.733695,2.357798,"[3.014163, 0.733695, 2.357798]","[3.014163, 2.357801, 0.733704]","[3.014163, 0.733695, 2.357798]","[-0.376161, 0.266477, 0.16751]","[0.376161, -0.266477, -0.16751]",-1.011389,1.346409,-0.100376,0.633328,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[3.014163, 2.357798, 0.733695]","[2.357798, 0.733695, 3.014163]","[0.733695, 3.014163, 2.357798]","[1.507082, 1.178902, 0.366852]","[4.521245, 3.536701, 1.100555]","[6.028326, 4.715603, 1.467407]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,YES,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
13,13.0,BASE_BEAMSTONE,LIGHT FISSURE,Exotic Decorations,Planetary Glitches,BASE_BEAMSTONE,,PROP,light/accent,models/exotic_decorations/BASE_BEAMSTONE.fbx,DECORATIVE_FLORA_OR_GLITCH,2.722876,10.852933,2.589608,"[2.722876, 10.852933, 2.589608]","[2.722876, 2.589647, 10.852942]","[2.722876, 10.852933, 2.589608]","[0.0, 6.045913, 0.0]","[0.0, -6.045913, 0.0]",-1.294804,1.294804,0.619442,11.472384,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[2.722876, 2.589609, 10.852933]","[2.589608, 10.852933, 2.722876]","[10.852933, 2.722877, 2.589608]","[1.361438, 1.294825, 5.426471]","[4.084314, 3.88447, 16.279413]","[5.445752, 5.179295, 21.705884]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,YES,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
14,14.0,BASE_BONEGARDEN,RATTLE SPINE,Exotic Decorations,Planetary Glitches,BASE_BONEGARDEN,,PROP,prop/detail or unclassified,models/exotic_decorations/BASE_BONEGARDEN.fbx,DECORATIVE_FLORA_OR_GLITCH,1.28,2.453582,1.28,"[1.28, 2.453582, 1.28]","[1.28, 1.280009, 2.453587]","[1.28, 2.453582, 1.28]","[0.0, 1.208256, 0.0]","[0.0, -1.208256, 0.0]",-0.64,0.64,-0.018537,2.435049,0.0,True,True,10,"[90.000207, 0.0, 0.0]","[1.28, 1.28, 2.453582]","[1.28, 2.453582, 1.28]","[2.453582, 1.280001, 1.28]","[0.64, 0.640003, 1.226793]","[1.92, 1.920013, 3.68038]","[2.56, 2.560019, 4.907173]",VERIFIED_DATA_OK,,USE_DATA_VERIFIED,YES,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.02,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
