ActiveLibraryIndex,ExtractionPartIndex,ObjectID,NiceName,Category,SubCategory,ModelName,VariantOfClean,SnapGroups,LikelyRole,FBXPath,PartClassGuess,ExpectedExtentX,ExpectedExtentY,ExpectedExtentZ,MeasuredLocalSize,MeasuredWorldSize_DEFAULT,DimensionsProperty_DEFAULT,LocalBBoxCenter,LocalOriginOffsetFromBBoxCenter,LocalBottomOffsetZ,LocalTopOffsetZ,WorldBottomOffsetFromOriginZ_DEFAULT,WorldTopOffsetFromOriginZ_DEFAULT,SortedExtentDeltaMax_DEFAULT,ExtentMatch0p10_DEFAULT,SpawnSuccessAllVariants,VariantCount,DefaultRotationDegrees,RX90WorldSize,RY90WorldSize,RZ90WorldSize,Scale050WorldSize,Scale150WorldSize,Scale200WorldSize,ValidationStatus,ValidationFlags,MechanicsUseRecommendation,DecorativeProxyCaution,UserConfirmedNote,SourceExtractionRun,SourceDocsRev,ExtractionConfidence
50,50.0,BASE_FLORAL03,SPOONLEAF,Exotic Decorations,Decorative Plants,BASE_FLORAL01,,,prop/detail or unclassified,models/exotic_decorations/BASE_FLORAL01.fbx,DECORATIVE_FLORA_OR_GLITCH,0.838623,0.891296,0.759521,"[1.449219, 2.202881, 1.446777]","[1.449219, 1.446785, 2.202886]","[1.449219, 2.202881, 1.446777]","[0.037598, 0.704224, -0.189697]","[-0.037598, -0.704224, 0.189697]",-0.913086,0.533691,-0.397219,1.805667,1.311585,False,True,10,"[90.000207, 0.0, 0.0]","[1.449219, 1.446777, 2.202881]","[1.446777, 2.202881, 1.449219]","[2.202881, 1.449219, 1.446777]","[0.724609, 0.723392, 1.101443]","[2.173828, 2.170177, 3.304329]","[2.898438, 2.893572, 4.405772]",DECOR_PROXY_OR_VARIANT_REVIEW,EXTENT_MISMATCH_GT_0P10;DECOR_PROXY_OR_VARIANT_MISMATCH_SUSPECT,USE_WITH_DECOR_PROXY_CAUTION,YES,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
401,401.0,B_STR_AA_NE,B_STR_AA_NE (NE),Corvette,Hull Plating,B_STR_AA_NE,,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
402,402.0,B_STR_AA_NE1,B_STR_AA_NE1 (NE1),Corvette,Hull Plating,B_STR_AA_NE1,^B_STR_AA_NE,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
403,403.0,B_STR_AA_NE2,B_STR_AA_NE2 (NE2),Corvette,Hull Plating,B_STR_AA_NE2,^B_STR_AA_NE,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
404,404.0,B_STR_AA_NE3,B_STR_AA_NE3 (NE3),Corvette,Hull Plating,B_STR_AA_NE3,^B_STR_AA_NE,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
405,405.0,B_STR_AA_NW,B_STR_AA_NW (NW),Corvette,Hull Plating,B_STR_AA_NW,^B_STR_AA_NE,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
406,406.0,B_STR_AA_NW1,B_STR_AA_NW1 (NW1),Corvette,Hull Plating,B_STR_AA_NW1,^B_STR_AA_NE,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
407,407.0,B_STR_AA_NW2,B_STR_AA_NW2 (NW2),Corvette,Hull Plating,B_STR_AA_NW2,^B_STR_AA_NE,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
408,408.0,B_STR_AA_NW3,B_STR_AA_NW3 (NW3),Corvette,Hull Plating,B_STR_AA_NW3,^B_STR_AA_NE,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
413,413.0,B_STR_AA_Y_NE,B_STR_AA_Y_NE (Y_NE),Corvette,Hull Plating,B_STR_AA_Y_NE,^B_STR_AA_NE,,prop/detail or unclassified,,CORVETTE,,,,"[2.0, 2.0, 2.0]","[2.0, 2.000007, 2.000007]","[2.0, 2.0, 2.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-1.0,1.0,-1.000004,1.000004,,False,True,10,"[90.000207, 0.0, 0.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[1.0, 1.000004, 1.000004]","[3.0, 3.000011, 3.000011]","[4.0, 4.000015, 4.000014]",VERIFIED_DATA_NO_EXPECTED_EXTENT,EXPECTED_EXTENTS_MISSING,USE_DATA_VERIFIED_NO_EXPECTED_COMPARISON,,,NMS_FULL_PARTMAP_EXTRACTION_V01_PORTABLE_V02,3.01.01,VERIFIED_DATA_ONLY_RESULTS_MAY_VARY_IN_GAME
