part_id,part_family,status,primary_source,partmap_path,fbx_path,baseline_scale,extent_x,extent_y,extent_z,center_x,center_y,center_z,local_x_rule,local_y_rule,local_z_rule,neighbor_offset_summary,fitment_modes,validated_applications,validation_status,orientation_override,last_updated,provenance_level,origin_type,origin_offset_local,default_orientation_state,default_orientation_direction,pivot_center_type,orientation_phase_rule,phase_a_deg,phase_b_deg,scale_behavior,family_equivalence_status,geometry_capability,validated_with_algorithm,next_validation_needed
ABAND_BARREL,ABAND_BARREL,SEEDED,dimensions_library_fbx_bounds,,models/freighter/ABAND_BARREL.fbx,source/control scale,1.0,1.766413,0.951057,0.0,0.883206,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
ABAND_BENCH,ABAND_BENCH,SEEDED,dimensions_library_fbx_bounds,,models/freighter/ABAND_BENCH.fbx,source/control scale,2.139994,0.82497,0.691667,-0.002467,0.412485,-0.001209,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
ABAND_CASE,ABAND_CASE,SEEDED,dimensions_library_fbx_bounds,,models/freighter/ABAND_CASE.fbx,source/control scale,0.945196,0.255568,0.624492,-0.007025,0.133281,0.031481,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
ABAND_CRATE_L,ABAND_CRATE_L,SEEDED,dimensions_library_fbx_bounds,,models/freighter/ABAND_CRATE_L.fbx,source/control scale,1.578422,1.267061,1.319302,0.0,0.633718,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
ABAND_CRATE_M,ABAND_CRATE,SEEDED,dimensions_library_fbx_bounds,,models/freighter/ABAND_CRATE_M.fbx,source/control scale,1.240476,0.891024,1.125102,0.0,0.447374,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
ABAND_CRATE_XL,ABAND_CRATE_XL,SEEDED,dimensions_library_fbx_bounds,,models/freighter/ABAND_CRATE_XL.fbx,source/control scale,2.747991,2.177107,1.506098,0.000472,1.076696,0.001783,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
ABAND_SHELF,ABAND_SHELF,SEEDED,dimensions_library_fbx_bounds,,models/freighter/ABAND_SHELF.fbx,source/control scale,1.419034,2.884865,4.956271,0.346927,1.442433,0.027102,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
AIRLCKCONNECTOR,AIRLCKCONNECTOR,SEEDED,dimensions_library_fbx_bounds,,models/freighter/AIRLCKCONNECTOR.fbx,source/control scale,3.071052,3.3122,0.941372,0.0,1.624842,0.413323,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
ARCHIVE,ARCHIVE,SEEDED,dimensions_library_fbx_bounds,,models/decoration/ARCHIVE.fbx,source/control scale,2.048828,1.188477,1.056152,-0.000977,0.592808,0.000244,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BARRENPLANT,BARRENPLANT,SEEDED,dimensions_library_fbx_bounds,,models/farming/BARRENPLANT.fbx,source/control scale,0.898179,2.291468,0.707296,0.105248,1.051862,0.031049,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASECAPSULE,BASECAPSULE,SEEDED,dimensions_library_fbx_bounds,,models/specialist_terminals/BASECAPSULE.fbx,source/control scale,3.900001,3.477557,3.900001,0.0,1.638517,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_AQUARIUM,BASE_AQUARIUM,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_AQUARIUM.fbx,source/control scale,4.16,3.958481,4.160001,0.0,1.976762,-1e-06,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_BARNACLE,BASE_BARNACLE,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_BARNACLE.fbx,source/control scale,3.014163,0.733695,2.357798,-0.376161,0.266477,0.16751,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_BEAMSTONE,BASE_BEAMSTONE,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_BEAMSTONE.fbx,source/control scale,2.722876,10.852933,2.589608,0.0,6.045913,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
