part_id,part_family,validation_status
ABAND_BARREL,ABAND_BARREL,UNTESTED
ABAND_BENCH,ABAND_BENCH,UNTESTED
ABAND_CASE,ABAND_CASE,UNTESTED
ABAND_CRATE_L,ABAND_CRATE_L,UNTESTED
ABAND_CRATE_M,ABAND_CRATE,UNTESTED
ABAND_CRATE_XL,ABAND_CRATE_XL,UNTESTED
ABAND_SHELF,ABAND_SHELF,UNTESTED
AIRLCKCONNECTOR,AIRLCKCONNECTOR,UNTESTED
ARCHIVE,ARCHIVE,UNTESTED
BARRENPLANT,BARRENPLANT,UNTESTED
BASECAPSULE,BASECAPSULE,UNTESTED
BASE_AQUARIUM,BASE_AQUARIUM,UNTESTED
BASE_BARNACLE,BASE_BARNACLE,UNTESTED
BASE_BEAMSTONE,BASE_BEAMSTONE,UNTESTED
BASE_BONEGARDEN,BASE_BONEGARDEN,UNTESTED
BASE_BUBBLECLUS,BASE_BUBBLECLUS,UNTESTED
BASE_BUBPIPE,BASE_BUBPIPE,UNTESTED
BASE_BUBPIPE_L,BASE_BUBPIPE_L,UNTESTED
BASE_BUBPIPE_S,BASE_BUBPIPE_S,UNTESTED
BASE_BUBPIPE_T,BASE_BUBPIPE_T,UNTESTED
BASE_BUBPIPE_X,BASE_BUBPIPE_X,UNTESTED
BASE_CAVE1,BASE_CAVE1,UNTESTED
BASE_CAVE2,BASE_CAVE2,UNTESTED
BASE_CAVE3,BASE_CAVE3,UNTESTED
BASE_CAVE4,BASE_CAVE4,UNTESTED
BASE_CAVE5,BASE_CAVE5,UNTESTED
BASE_COLDPLANT1,BASE_COLDPLANT1,UNTESTED
BASE_COLDPLANT2,BASE_COLDPLANT2,UNTESTED
BASE_COLDPLANT3,BASE_COLDPLANT3,UNTESTED
BASE_CONTOURPOD,BASE_CONTOURPOD,UNTESTED
BASE_DUST01,BASE_DUST01,UNTESTED
BASE_DUST02,BASE_DUST02,UNTESTED
BASE_DUST03,BASE_DUST03,UNTESTED
BASE_DUST04,BASE_DUST04,UNTESTED
BASE_DUST05,BASE_DUST05,UNTESTED
BASE_DUST06,BASE_DUST06,UNTESTED
BASE_DUST07,BASE_DUST07,UNTESTED
BASE_DUST08,BASE_DUST08,UNTESTED
BASE_DUST09,BASE_DUST09,UNTESTED
BASE_DUST10,BASE_DUST10,UNTESTED
BASE_DUST11,BASE_DUST11,UNTESTED
BASE_DUST12,BASE_DUST12,UNTESTED
BASE_DUST13,BASE_DUST13,UNTESTED
BASE_DUSTPLANT1,BASE_DUSTPLANT1,UNTESTED
BASE_DUSTPLANT2,BASE_DUSTPLANT2,UNTESTED
BASE_DUSTPLANT3,BASE_DUSTPLANT3,UNTESTED
BASE_ENGINEORB,BASE_ENGINEORB,UNTESTED
BASE_FLAG,BASE_FLAG,UNTESTED
BASE_FLORAL01,BASE_FLORAL01,UNTESTED
BASE_FLORAL02,BASE_FLORAL02,UNTESTED
BASE_FLORAL03,BASE_FLORAL03,UNTESTED
BASE_FLORAL04,BASE_FLORAL04,UNTESTED
BASE_FLOWER1,BASE_FLOWER1,UNTESTED
BASE_FLOWER2,BASE_FLOWER2,UNTESTED
BASE_FLOWER3,BASE_FLOWER3,UNTESTED
BASE_FLYINGFERN,BASE_FLYINGFERN,UNTESTED
BASE_FOXGLOVE01,BASE_FOXGLOVE01,UNTESTED
BASE_GRASS1,BASE_GRASS1,UNTESTED
BASE_GRASS2,BASE_GRASS2,UNTESTED
BASE_GRASS3,BASE_GRASS3,UNTESTED
BASE_GRASS4,BASE_GRASS4,UNTESTED
BASE_GRASS5,BASE_GRASS5,UNTESTED
BASE_GRASS6,BASE_GRASS6,UNTESTED
BASE_GRASS7,BASE_GRASS7,UNTESTED
BASE_HOTPLANT01,BASE_HOTPLANT01,UNTESTED
BASE_HOTPLANT02,BASE_HOTPLANT02,UNTESTED
BASE_HOTPLANT03,BASE_HOTPLANT03,UNTESTED
BASE_HOTPLANT04,BASE_HOTPLANT04,UNTESTED
BASE_HOTPLANT05,BASE_HOTPLANT05,UNTESTED
BASE_HOTPLANT06,BASE_HOTPLANT06,UNTESTED
BASE_HOTPLANT07,BASE_HOTPLANT07,UNTESTED
BASE_HOTPLANT08,BASE_HOTPLANT08,UNTESTED
BASE_HOUDINI1,BASE_HOUDINI1,UNTESTED
BASE_HOUDINI2,BASE_HOUDINI2,UNTESTED
BASE_HOUDINI3,BASE_HOUDINI3,UNTESTED
BASE_HYDROPOD,BASE_HYDROPOD,UNTESTED
BASE_INFEST1,BASE_INFEST1,UNTESTED
BASE_INFEST2,BASE_INFEST2,UNTESTED
BASE_INFEST3,BASE_INFEST3,UNTESTED
BASE_JUNGLE01,BASE_JUNGLE01,UNTESTED
BASE_JUNGLE02,BASE_JUNGLE02,UNTESTED
BASE_JUNGLE03,BASE_JUNGLE03,UNTESTED
BASE_JUNGLE04,BASE_JUNGLE04,UNTESTED
BASE_LAVA1,BASE_LAVA1,UNTESTED
BASE_LAVA2,BASE_LAVA2,UNTESTED
BASE_LAVA3,BASE_LAVA3,UNTESTED
BASE_MEDGEOMETR,BASE_MEDGEOMETR,UNTESTED
BASE_MEDPLANT01,BASE_MEDPLANT01,UNTESTED
BASE_MEDPLANT02,BASE_MEDPLANT02,UNTESTED
BASE_MEDPLANT03,BASE_MEDPLANT03,UNTESTED
BASE_NEXUS1,BASE_NEXUS1,UNTESTED
BASE_NEXUS2,BASE_NEXUS2,UNTESTED
